year,region,avgTotalPower,sumTotalPower
2019,PAYS DE LA LOIRE,8.127899999999999,81.27899999999998
2021,PAYS DE LA LOIRE,11.038192291666666,264.916615
2018,HAUTS DE FRANCE,10.39790909090909,114.377
2015,AUVERGNE RHONE ALPES,0.481,0.481
2016,GRAND EST,6.5896,32.948
2019,OCCITANIE,5.26175,21.047
2018,PAYS DE LA LOIRE,8.4384,42.192
2017,CENTRE VAL DE LOIRE,11.933499999999999,23.866999999999997
2017,PAYS DE LA LOIRE,5.354666666666667,16.064
2018,NOUVELLE AQUITAINE,5.039,10.078
2019,HAUTS DE FRANCE,10.433294117647062,177.36600000000004
2016,AUVERGNE RHONE ALPES,4.0495,8.099
2020,PROVENCE ALPES COTE D AZUR,12.140666666666668,36.422000000000004
2018,BOURGOGNE FRANCHE COMTE,12.105,24.21
2018,GRAND EST,9.001363636363633,99.01499999999997
2015,ILE DE FRANCE,12.374666666666664,37.123999999999995
2021,ILE DE FRANCE,11.894203,261.672466
2020,CENTRE VAL DE LOIRE,10.670466666666666,160.057
2013,ILE DE FRANCE,3.717,3.717
2020,BRETAGNE,7.10952,177.738
2021,HAUTS DE FRANCE,12.409062836363633,682.4984559999998
2015,HAUTS DE FRANCE,3.86525,15.461
2021,NOUVELLE AQUITAINE,12.012557181818181,264.276258
2019,AUVERGNE RHONE ALPES,5.668416666666666,68.021
2017,GRAND EST,7.938166666666667,47.629
2020,OCCITANIE,6.881285714285714,48.169
2014,PAYS DE LA LOIRE,3.174,3.174
2021,BOURGOGNE FRANCHE COMTE,11.071667399999999,110.71667399999998
2020,ILE DE FRANCE,11.650764705882354,198.06300000000002
2018,OCCITANIE,2.493,7.479
2016,BOURGOGNE FRANCHE COMTE,6.994,6.994
2019,GRAND EST,10.160642857142857,142.249
2016,PAYS DE LA LOIRE,7.778,7.778
2017,ILE DE FRANCE,9.435999999999998,66.05199999999999
2021,PROVENCE ALPES COTE D AZUR,12.952735750000002,51.81094300000001
2018,BRETAGNE,6.576571428571429,46.03600000000001
2020,HAUTS DE FRANCE,9.673529411764708,328.9000000000001
2017,BOURGOGNE FRANCHE COMTE,8.2995,16.599
2021,CENTRE VAL DE LOIRE,11.295569857142858,237.20696700000002
2017,HAUTS DE FRANCE,9.868249999999998,78.94599999999998
2020,GRAND EST,8.29485185185185,223.96099999999998
2020,NOUVELLE AQUITAINE,13.214099999999998,132.141
2019,ILE DE FRANCE,10.725076923076923,139.426
2021,OCCITANIE,12.643916916666667,151.727003
2019,BOURGOGNE FRANCHE COMTE,11.647,34.941
2014,ILE DE FRANCE,6.678666666666667,20.036
2016,ILE DE FRANCE,11.008500000000002,44.034000000000006
2014,HAUTS DE FRANCE,5.833,5.833
2020,PAYS DE LA LOIRE,10.120187499999998,161.92299999999997
2018,ILE DE FRANCE,10.966,109.66
2019,NORMANDIE,6.21,6.21
2015,BOURGOGNE FRANCHE COMTE,2.055,2.055
2014,GRAND EST,2.946,2.946
2016,CENTRE VAL DE LOIRE,4.87,9.74
2018,AUVERGNE RHONE ALPES,6.602428571428571,46.217
2013,HAUTS DE FRANCE,0.425,0.425
2017,AUVERGNE RHONE ALPES,5.914999999999999,35.489999999999995
2021,GRAND EST,12.172968409090911,535.6106100000001
2017,BRETAGNE,6.82375,27.295
2013,GRAND EST,0.311,0.311
2015,BRETAGNE,1.405,1.405
2021,NORMANDIE,12.60165482352941,214.22813199999996
2019,CENTRE VAL DE LOIRE,9.736454545454544,107.10099999999998
2015,GRAND EST,6.194333333333333,18.583
2019,PROVENCE ALPES COTE D AZUR,12.574,25.148
2016,BRETAGNE,6.302,6.302
2021,AUVERGNE RHONE ALPES,6.465985344827585,187.51357499999997
2020,BOURGOGNE FRANCHE COMTE,10.851600000000001,54.258
2020,NORMANDIE,8.873,79.857
2019,NOUVELLE AQUITAINE,9.89275,39.571
2019,BRETAGNE,7.2379999999999995,94.094
2018,CENTRE VAL DE LOIRE,4.822000000000001,33.754000000000005
2015,PAYS DE LA LOIRE,5.955,5.955
2016,HAUTS DE FRANCE,5.625333333333334,33.752
2021,BRETAGNE,7.109753630434783,327.048667
2020,AUVERGNE RHONE ALPES,7.137666666666666,107.065
